# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1200                    	2.0575823309508634e-02	1.2870349791536496e-02	7.7054735179721383e-03	-3.0131778183032222e-04	-5.1696416583821910e-04	2.1564638400789693e-04	-3.6630527492305804e-04	2.5824381367821783e-03	-1.4543128887816968e-02	1.7828043720702400e-01	7.4597089715695036e-02	1.0368334749132897e-01
1250                    	2.0571857197092296e-02	1.2970630672616827e-02	7.6012265244754709e-03	-5.0191942072843481e-04	-5.6518942481345884e-04	6.3270004085023968e-05	-3.1422971444924138e-04	2.6847020740706786e-03	-1.4544796252290921e-02	1.7828164496782192e-01	7.4596026231620038e-02	1.0368561873620187e-01
1300                    	2.0575706840557244e-02	1.3110524446521041e-02	7.4651823940362046e-03	-7.7005371758319451e-04	-6.2762312047138754e-04	-1.4243059711180700e-04	-2.4259626167979028e-04	2.8226710262424176e-03	-1.4543538969162655e-02	1.7827866473614146e-01	7.4595793398908081e-02	1.0368287133723338e-01
1350                    	2.0570797086858848e-02	1.3365061552941813e-02	7.2057355339170352e-03	-1.2837328427069972e-03	-7.5004338493829645e-04	-5.3368945776870061e-04	-1.0817696358479789e-04	3.0796630095123894e-03	-1.4547133588238049e-02	1.7827723028623768e-01	7.4591481554880795e-02	1.0368574873135689e-01
1400                    	2.0568229566755351e-02	1.3534250834520990e-02	7.0339787322343597e-03	-1.6571092921465987e-03	-8.5411907734832043e-04	-8.0299021479827818e-04	-2.5564431275021122e-05	3.2501360511433151e-03	-1.4548898743393065e-02	1.7827780728644321e-01	7.4590004899828533e-02	1.0368780238661468e-01
1450                    	2.0579828642076720e-02	1.3394762943822970e-02	7.1850656982537491e-03	-1.3635923868831790e-03	-7.7319703946600478e-04	-5.9039534741717431e-04	-9.1400846024415264e-05	3.1048486227846102e-03	-1.4542368575478014e-02	1.7827626137049882e-01	7.4595762109771396e-02	1.0368049926072742e-01
1500                    	2.0580952419223929e-02	1.3332483149090142e-02	7.2484692701337864e-03	-1.2508734102722589e-03	-7.4417643751972979e-04	-5.0669697275252897e-04	-1.1873973238360036e-04	3.0420069394781783e-03	-1.4541515581024381e-02	1.7827645738065276e-01	7.4596713109301993e-02	1.0367974427135077e-01
1550                    	2.0568789157190851e-02	1.3187067952968770e-02	7.3817212042220810e-03	-9.7212567251021994e-04	-6.7475471728680966e-04	-2.9737095522341039e-04	-1.8869188103169961e-04	2.9026733743733441e-03	-1.4546886755607530e-02	1.7828106256138931e-01	7.4593644525087127e-02	1.0368741803630220e-01
1600                    	2.0563554395315257e-02	1.3089710391919496e-02	7.4738440033957614e-03	-7.8500694067322333e-04	-6.2688860664222097e-04	-1.5811833403100230e-04	-2.3438513630560931e-04	2.8079331942618677e-03	-1.4548517576478471e-02	1.7828411434752237e-01	7.4593539597282710e-02	1.0369057475023966e-01
1650                    	2.0564847756286940e-02	1.3014420161301082e-02	7.5504275949858576e-03	-6.4110550927607736e-04	-5.9585386046825364e-04	-4.5251648807823728e-05	-2.7530110583021497e-04	2.7319962831576128e-03	-1.4547312137900911e-02	1.7828389640972295e-01	7.4594636066960568e-02	1.0368926034276239e-01
